region,area_mm2,centre_x_mm,centre_y_mm,fill_stitches
1,1305.2,-128.58,23.59,1009
2,1303.6,128.56,23.7,1026
3,130.4,-112.59,44.49,114
4,130.4,112.59,44.49,125
5,103.0,-144.93,52.25,88
6,103.0,144.93,52.25,110
7,218.2,-140.48,70.85,184
8,613.0,-113.03,74.4,548
9,613.0,113.03,74.4,562
10,218.2,140.48,70.85,202
11,158.8,-111.54,80.87,139
12,158.9,111.54,80.87,165
13,42.9,-142.0,91.93,53
14,42.9,142.0,91.93,47
15,95.4,-94.95,100.64,98
16,95.4,94.95,100.64,86
17,686.1,-125.11,112.93,566
18,270.3,-115.97,115.39,217
19,220.6,-101.88,113.98,189
20,220.6,101.88,113.98,185
21,270.4,116.01,115.41,225
22,690.0,125.11,112.93,572
23,93.8,-84.94,122.15,84
24,93.8,84.94,122.15,93
25,43.8,-120.66,140.89,46
26,44.4,120.67,140.87,52
27,1309.1,-92.03,148.38,1017
28,1308.7,92.02,148.39,1025
29,616.9,-48.26,157.35,566
30,158.9,-44.18,162.38,139
31,158.9,44.18,162.38,158
32,616.9,48.26,157.35,576
33,198.0,-74.88,173.51,178
34,197.9,74.89,173.51,175
35,91.5,-75.48,184.48,80
36,215.7,-26.13,183.89,195
37,87.3,-8.15,185.28,82
38,87.9,8.24,185.36,86
39,213.9,26.11,183.84,179
40,91.5,75.48,184.48,91
41,41.1,-65.29,192.51,46
42,271.8,-34.95,195.18,225
43,271.7,34.95,195.18,221
44,40.4,65.27,192.55,46
45,81.3,84.1,190.15,175
46,691.7,-43.05,200.01,560
47,691.7,43.04,200.01,573
48,1311.6,-0.16,209.85,1016
49,326.0,-68.33,213.41,293
50,330.2,68.29,213.44,320
51,282.9,-69.78,227.65,265
52,153.2,-63.63,223.32,143
53,146.3,63.78,223.37,152
54,282.9,69.78,227.65,263
55,690.1,-39.05,242.42,572
56,270.6,-30.46,238.57,223
57,216.1,-16.33,237.83,181
58,217.4,16.32,237.97,195
59,270.5,30.46,238.53,221
60,686.2,39.08,242.37,578
61,282.0,0.25,250.4,324
62,41.8,-18.64,267.16,44
63,42.0,18.86,267.15,53
64,75.8,-16.9,272.25,102
65,74.7,17.06,272.2,69
66,240.7,-20.51,276.95,240
67,245.4,20.51,276.78,236
68,1311.7,0.11,300.55,1016
69,122.9,-0.38,335.55,124
70,473.3,0.08,341.3,438
